               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.034745,             0.14867,           0.0099722,             0.62315,             0.52494,             0.54555,             0.34552,            0.037387,             0.27081,            0.017566,           0.0034943,           0.0034943,           0.0034943
                  48,            0.034615,             0.14392,           0.0099056,             0.61654,             0.51892,             0.53906,             0.34251,            0.037469,             0.27195,            0.017808,           0.0033529,           0.0033529,           0.0033529
                  49,            0.033926,             0.14393,           0.0097795,             0.62893,             0.51637,             0.54194,             0.34396,            0.037326,             0.27137,            0.017776,           0.0032114,           0.0032114,           0.0032114
                  50,            0.034277,             0.14282,           0.0095174,             0.62679,             0.50722,             0.53854,             0.34346,            0.037408,             0.27376,            0.017754,             0.00307,             0.00307,             0.00307
                  51,            0.034195,              0.1436,           0.0094236,             0.62222,              0.5199,             0.54262,             0.34519,            0.037332,             0.27378,            0.017857,           0.0029286,           0.0029286,           0.0029286
                  52,            0.034156,             0.14304,           0.0094948,             0.61282,             0.52274,              0.5386,             0.34259,             0.03737,             0.27379,            0.018009,           0.0027871,           0.0027871,           0.0027871
                  53,            0.033679,             0.14268,           0.0091199,             0.62742,              0.5176,             0.53988,             0.34465,            0.037366,             0.27338,            0.017863,           0.0026457,           0.0026457,           0.0026457
                  54,            0.033892,             0.14305,            0.009205,             0.63212,             0.51583,             0.53972,             0.34334,            0.037349,             0.27428,            0.017944,           0.0025043,           0.0025043,           0.0025043
                  55,            0.033804,             0.14103,           0.0089247,              0.6251,             0.51741,             0.54085,             0.34472,            0.037336,             0.27522,             0.01808,           0.0023629,           0.0023629,           0.0023629
                  56,            0.033703,             0.13839,           0.0090195,             0.63285,             0.51267,             0.54308,             0.34487,            0.037369,             0.27494,            0.018052,           0.0022214,           0.0022214,           0.0022214
                  57,            0.034012,             0.14152,           0.0088789,             0.63267,             0.51428,             0.53816,             0.34257,            0.037418,             0.27681,            0.018215,             0.00208,             0.00208,             0.00208
